Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;Precision;PPV;NPV;Best_Param
mRMR_Features;0.8452380952380952;0.8341443783426881;0.8694315159574468;0.5593042447921106;0.5420316868592732;0.9521276595744681;0.53125;0.8564593301435407;0.8564593301435407;0.7906976744186046;{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}
RFE_Features;0.8214285714285714;0.819992461364493;0.8755817819148936;0.5216230504668504;0.5213574202262368;0.8882978723404256;0.625;0.8743455497382199;0.8743455497382199;0.6557377049180327;{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}
GA_Features;0.8253968253968254;0.8150995085005237;0.835688164893617;0.5031002884745255;0.4921216562843532;0.9308510638297872;0.515625;0.8495145631067961;0.8495145631067961;0.717391304347826;{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}
PCA_Features;0.8412698412698413;0.8305809416920529;0.8070146276595744;0.5481405863489004;0.5329873980726464;0.9468085106382979;0.53125;0.8557692307692307;0.8557692307692307;0.7727272727272727;{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}
MFA_Features;0.753968253968254;0.746730119699295;0.7697805851063829;0.317397947574391;0.3154574132492114;0.8617021276595744;0.4375;0.8181818181818182;0.8181818181818182;0.5185185185185185;{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}
tSNE_Features;0.7857142857142857;0.7845804988662132;0.8151595744680852;0.4287154243484053;0.42861941551897886;0.8617021276595744;0.5625;0.8526315789473684;0.8526315789473684;0.5806451612903226;{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 20}
