Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.9932650350977045;0.993274778856828;0.9980291863401695;0.9822954794608681;0.9822783405902465;0.9939815207256082;0.991160358565737;0.9969816775071207;0.9824756263112427;{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}
RFE_Features;0.9637639916524379;0.9642990987265841;0.9933616650208523;0.9091599836977867;0.907345688439322;0.9591633466135459;0.9772783864541833;0.9920001753386227;0.8906728696244185;{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}
GA_Features;0.9866881679630684;0.9867401133970851;0.9982778697556135;0.9652726733706436;0.9651481823127321;0.9869670255149614;0.9858690239043825;0.9951495726495726;0.962618526622903;{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}
PCA_Features;0.9740561563270727;0.9740494898525675;0.9948935516411086;0.9315005128528786;0.93150000563197;0.9828770026277868;0.9481449203187251;0.9823565543388474;0.949622794438556;{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}
MFA_Features;0.9715107822677543;0.971697198066698;0.9942702554303428;0.9261649420956836;0.9258230772648509;0.973912859201492;0.9644546812749004;0.9877278198074277;0.9263932073666586;{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}
tSNE_Features;0.9708151520900525;0.9713154457004323;0.9976074367656104;0.928329079103482;0.9257856770913101;0.9609434602017463;0.9998132470119522;0.9999338449325218;0.897062109025916;{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 20}
