Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.9283659014734712;0.9301962784610075;0.9862898038578076;0.826999291599734;0.8215859650350918;0.9212511655505637;0.9492654382470119;0.9815973084652381;0.8040601107302926;{'C': 10, 'gamma': 'scale'}
RFE_Features;0.9190065136280275;0.9209797871469143;0.9572455692509272;0.8023787042828197;0.7976557459990258;0.916652538781046;0.9259213147410359;0.9732253346833165;0.7908757377572181;{'C': 1, 'gamma': 'scale'}
GA_Features;0.787295263390881;0.7991663796625815;0.8974634126723167;0.5506718168306323;0.5238426414873871;0.7651309654997033;0.8524028884462151;0.9383771701840108;0.5526719405876654;{'C': 10, 'gamma': 'auto'}
PCA_Features;0.991763106304939;0.9918059648958825;0.9999932020983625;0.9787195556021546;0.9784931793178597;0.9889590573874714;1.0;1.0;0.9685860717515827;{'C': 10, 'gamma': 'scale'}
MFA_Features;0.7698728893948017;0.7814426355517108;0.8573095717652826;0.48802827136961263;0.47098526418777664;0.7693905230143256;0.7712898406374502;0.908104052026013;0.532399449982812;{'C': 0.1, 'gamma': 'scale'}
tSNE_Features;0.7545690254853602;0.7659307892133552;0.8151501130765569;0.43879166149633364;0.426679813397707;0.7685640417055184;0.7134586653386454;0.8873746023978468;0.5120632651237602;{'C': 0.1, 'gamma': 'scale'}
