Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.8015873015873016;0.8082010582010581;0.8836851728723404;0.5225761394573838;0.5162776412776413;0.824468085106383;0.734375;0.9011627906976745;0.5875;{'C': 100, 'gamma': 'scale'}
RFE_Features;0.8809523809523809;0.8826523751896886;0.9202958776595744;0.6965545319924923;0.6952595936794582;0.9042553191489362;0.8125;0.9340659340659341;0.7428571428571429;{'C': 10, 'gamma': 'scale'}
GA_Features;0.75;0.7640105787740856;0.8337765957446809;0.46400164978657665;0.44106463878326996;0.7393617021276596;0.78125;0.9084967320261438;0.5050505050505051;{'C': 1, 'gamma': 'scale'}
PCA_Features;0.7896825396825397;0.7976778012792419;0.8239278590425533;0.5027995333524186;0.4944738834216502;0.8085106382978723;0.734375;0.8994082840236687;0.5662650602409639;{'C': 0.1, 'gamma': 'scale'}
MFA_Features;0.7103174603174603;0.7277296246297394;0.7918467420212765;0.39449093817723035;0.36887608069164257;0.6968085106382979;0.75;0.891156462585034;0.45714285714285713;{'C': 0.5, 'gamma': 'scale'}
tSNE_Features;0.6626984126984127;0.6833299464878412;0.7345412234042553;0.2918840395392727;0.2713294325758606;0.6595744680851063;0.671875;0.8551724137931035;0.40186915887850466;{'C': 100, 'gamma': 'scale'}
