Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;Precision;PPV;NPV;Best_Param
mRMR_Features;0.8571428571428571;0.8475228475228475;0.8815658244680851;0.5961695946103478;0.5796886582653817;0.9574468085106383;0.5625;0.8653846153846154;0.8653846153846154;0.8181818181818182;{'n_neighbors': 5}
RFE_Features;0.8253968253968254;0.8121033439133373;0.8144115691489362;0.4974001557032497;0.4803149606299213;0.9414893617021277;0.484375;0.8428571428571429;0.8428571428571429;0.7380952380952381;{'n_neighbors': 1}
GA_Features;0.8134920634920635;0.7863378195377254;0.8324468085106383;0.4466587844895737;0.3995132833096735;0.9680851063829787;0.359375;0.8161434977578476;0.8161434977578476;0.7931034482758621;{'n_neighbors': 15}
PCA_Features;0.8174603174603174;0.8066949407050931;0.8085106382978724;0.47949990264139436;0.4690362770245511;0.925531914893617;0.5;0.8446601941747572;0.8446601941747572;0.6956521739130435;{'n_neighbors': 11}
MFA_Features;0.7936507936507936;0.771912619833412;0.7805851063829787;0.38706936721401886;0.36363636363636354;0.9361702127659575;0.375;0.8148148148148148;0.8148148148148148;0.6666666666666666;{'n_neighbors': 15}
tSNE_Features;0.75;0.7434682964094729;0.7538646941489362;0.3096912156948237;0.3081750043576782;0.8563829787234043;0.4375;0.817258883248731;0.817258883248731;0.509090909090909;{'n_neighbors': 11}
