Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;Precision;PPV;NPV;Best_Param
mRMR_Features;0.849285398090179;0.8476734953742103;0.8872906628867256;0.5945545720731683;0.5940269995680556;0.9094685089429516;0.6724975099601593;0.8907985138136455;0.8907985138136455;0.7166169154228855;-
RFE_Features;0.7891924366027951;0.7998172012685547;0.893508413155887;0.534459222773259;0.515656765417777;0.7820208527591761;0.8102589641434262;0.9237046307884856;0.9237046307884856;0.5585786627757274;-
GA_Features;0.8065357617150446;0.7788891270718202;0.8187346988508204;0.42193498482932995;0.378796949950404;0.9622785453928965;0.34904133466135456;0.8128166114740893;0.8128166114740893;0.7590361445783133;-
PCA_Features;0.8314361601214191;0.8205704810046656;0.8333242971679444;0.5192585994137706;0.5059772032249097;0.9384165465796389;0.5171812749003984;0.8509550712940543;0.8509550712940543;0.7408596397360442;-
MFA_Features;0.7816827926389679;0.760765938853797;0.8257271018705546;0.35227915534120685;0.33418769731177644;0.9232008137662118;0.36597360557768926;0.8105081024763251;0.8105081024763251;0.6186467431337472;-
tSNE_Features;0.7716435843925884;0.7547225859200803;0.774283057120505;0.3330192109857773;0.3221143531431023;0.9042553191489362;0.38209661354581675;0.8112784242147691;0.8112784242147691;0.5760135135135135;-
