Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;Precision;PPV;NPV;Best_Param
mRMR_Features;0.8853158793397837;0.8780729670278121;0.912442869922784;0.68128528060501;0.664483247729215;0.9737009409171823;0.6256847609561753;0.8842763664357198;0.8842763664357198;0.8900991852639036;-
RFE_Features;0.8971890216910138;0.89104027794077;0.9305394513431399;0.7166371861802635;0.7006022463107755;0.9795075019072645;0.6553784860557769;0.8930386227949842;0.8930386227949842;0.9158764680295781;-
GA_Features;0.8480048061721368;0.8334876638806626;0.8797464524372629;0.5655022839487871;0.5366179834594405;0.9674917351869119;0.49701195219123506;0.8496296572002828;0.8496296572002828;0.8388316873292708;-
PCA_Features;0.8771422247517865;0.8703407458643194;0.8798203375676745;0.6572502574910005;0.6444467523111146;0.9631474103585658;0.6245019920318725;0.8828305588469533;0.8828305588469533;0.8522640387392745;-
MFA_Features;0.7924650603933473;0.7763761160031567;0.8192206881341295;0.39520837013671917;0.38119431597362263;0.9202339577858778;0.41714392430278885;0.8226267831094777;0.8226267831094777;0.6403248924988055;-
tSNE_Features;0.7728451274268008;0.7395506326763961;0.7566759721096963;0.2999555941510602;0.2679300461312508;0.9412562515893871;0.27813745019920316;0.7929729343712062;0.7929729343712062;0.6171270718232044;-
