Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.8531746031746031;0.8561970237819002;0.8897107712765957;0.6322761269133105;0.6297061159650517;0.8776595744680851;0.78125;0.9217877094972067;0.684931506849315;{'C': 10, 'gamma': 'scale'}
RFE_Features;0.876984126984127;0.8795164253307813;0.9137300531914893;0.6925688554635707;0.6897537728355838;0.8936170212765957;0.828125;0.9385474860335196;0.726027397260274;{'C': 1, 'gamma': 'scale'}
GA_Features;0.7261904761904762;0.741535395800189;0.8187333776595744;0.4080014506744036;0.38783269961977196;0.723404255319149;0.734375;0.8888888888888888;0.47474747474747475;{'C': 10, 'gamma': 'auto'}
PCA_Features;0.8055555555555556;0.8017080369323426;0.819813829787234;0.4690250470801385;0.46766683911019147;0.8882978723404256;0.5625;0.8564102564102564;0.631578947368421;{'C': 10, 'gamma': 'scale'}
MFA_Features;0.6904761904761905;0.7064427000038327;0.7553191489361702;0.3040131136544788;0.292542470486611;0.7127659574468085;0.625;0.8481012658227848;0.425531914893617;{'C': 0.1, 'gamma': 'scale'}
tSNE_Features;0.7103174603174603;0.7229421257149528;0.7220329122340426;0.32414482247513604;0.316540347748551;0.7446808510638298;0.609375;0.8484848484848485;0.4482758620689655;{'C': 0.1, 'gamma': 'scale'}
