Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.8373015873015873;0.8359931314654271;0.8782413563829787;0.5641907346370727;0.5639034273172379;0.898936170212766;0.65625;0.8848167539267016;0.6885245901639344;-
RFE_Features;0.7658730158730159;0.7760765125641399;0.8655252659574468;0.45836817150005155;0.44761480160499323;0.7819148936170213;0.71875;0.8909090909090909;0.5287356321839081;-
GA_Features;0.7976190476190477;0.770633184428063;0.7895196143617021;0.3921065549605318;0.3564990987382335;0.9521276595744681;0.34375;0.8099547511312217;0.7096774193548387;-
PCA_Features;0.8055555555555556;0.7948712070849475;0.7605551861702128;0.4461780772442891;0.43760247768263805;0.9148936170212766;0.484375;0.8390243902439024;0.6595744680851063;-
MFA_Features;0.7698412698412699;0.7479502580468339;0.7933011968085106;0.3146096153256653;0.29865642994241837;0.9148936170212766;0.34375;0.8037383177570093;0.5789473684210527;-
tSNE_Features;0.7658730158730159;0.7469785575048733;0.7513297872340425;0.31090743727931613;0.2990759947199698;0.9042553191489362;0.359375;0.8056872037914692;0.5609756097560976;-
