Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.8492379687598811;0.8549718967353634;0.9318136139851882;0.6483925152545301;0.6376436414169806;0.8483936594049335;0.8517181274900398;0.9438419464353074;0.6566519485505855;{'C': 100, 'gamma': 'scale'}
RFE_Features;0.9090621640422437;0.9109158632212413;0.9490280024367226;0.7736202899277935;0.7705420859004477;0.9153810290751886;0.8905004980079682;0.9608711126929751;0.7817794294458411;{'C': 10, 'gamma': 'scale'}
GA_Features;0.7952159615506229;0.8060892163992617;0.8869106822160371;0.558252034219134;0.5352035181589471;0.7787785030092397;0.8435009960159362;0.9359702518910934;0.5648422193505357;{'C': 1, 'gamma': 'scale'}
PCA_Features;0.8263770315563145;0.8319306994297753;0.8849195916015941;0.5814295064996418;0.5750699550666138;0.8432440450962109;0.7768301792828686;0.9173506086315013;0.627842624270477;{'C': 0.1, 'gamma': 'scale'}
MFA_Features;0.7206254347688611;0.7376042631032278;0.8167681574604354;0.4234051833741487;0.39449467933220383;0.7004535051284225;0.7798804780876494;0.9033589330126541;0.46986460638337774;{'C': 0.5, 'gamma': 'scale'}
tSNE_Features;0.6772908366533864;0.6967149354047546;0.7559406226549681;0.31814723222864427;0.2973624509885344;0.6742815970161905;0.6861304780876494;0.8632121540965817;0.4176265535010609;{'C': 100, 'gamma': 'scale'}
