Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.876984126984127;0.8681660443236752;0.8843916223404256;0.6562400561315961;0.6359739049394222;0.973404255319149;0.59375;0.8755980861244019;0.8837209302325582;-
RFE_Features;0.876984126984127;0.8681660443236752;0.906998005319149;0.6562400561315961;0.6359739049394222;0.973404255319149;0.59375;0.8755980861244019;0.8837209302325582;-
GA_Features;0.8253968253968254;0.8070029860128871;0.8340259308510638;0.49128035069471626;0.46153846153846145;0.9574468085106383;0.4375;0.8333333333333334;0.7777777777777778;-
PCA_Features;0.8412698412698413;0.8331713637836087;0.8252992021276596;0.552772763810332;0.5434782608695652;0.9361702127659575;0.5625;0.8627450980392157;0.75;-
MFA_Features;0.7896825396825397;0.7727095516569201;0.7877327127659575;0.3850076966056601;0.37035640203658304;0.9202127659574468;0.40625;0.8199052132701422;0.6341463414634146;-
tSNE_Features;0.7619047619047619;0.7257231301131681;0.7368683510638298;0.2578553115646984;0.22857142857142854;0.9361702127659575;0.25;0.7857142857142857;0.5714285714285714;-
