Feature_Type;accuracy;F1;AUC;MCC;Kappa;Sensitibity;Specificity;PPV;NPV;Best_Param
mRMR_Features;0.9356225890090432;0.9332594163554885;0.9808899567186454;0.8264037088571925;0.8187859728238296;0.9891074001864881;0.7785109561752988;0.929168657429527;0.9605222734254992;{'n_neighbors': 5}
RFE_Features;0.9698507557073294;0.9693334714494147;0.9984899859217871;0.9198676304400619;0.9178379820071192;0.9961218953971349;0.8926792828685259;0.9646206571035728;0.9873992976657715;{'n_neighbors': 1}
GA_Features;0.9351957250363625;0.9323290611667628;0.9762354606432286;0.826192612147328;0.8154710566162584;0.9943629736373655;0.7613919322709163;0.9244803467638656;0.9787148915739777;{'n_neighbors': 15}
PCA_Features;0.9201290077784102;0.917203811315585;0.9729717165657537;0.7823846358433216;0.775203095269374;0.9786598287700263;0.7481947211155379;0.9194640226177677;0.9226930753876862;{'n_neighbors': 11}
MFA_Features;0.8410801239486498;0.8243716773757256;0.9120184040898371;0.5427682708168657;0.5100219891091239;0.9678519962702382;0.4686877490039841;0.8425451057078552;0.8323015697545877;{'n_neighbors': 15}
tSNE_Features;0.9842534623411118;0.9842041996030485;0.9961135454420769;0.958263955720972;0.9581879582812471;0.992625243706027;0.9596613545816733;0.9863544474393531;0.9779243846739406;{'n_neighbors': 11}
